      a          H  rho/3H^2 -1   P_f/E_f    K_f/E_f    G_f/E_f            mean_fields            rms_fields
  30.52512  0.101E-06 -0.375E-11  0.287E-01  0.971      0.242E-07 -0.241E-01 -0.115E-12  0.916E-08  0.560E-05
  30.54784  0.101E-06 -0.375E-11  0.211E-01  0.979      0.179E-07 -0.223E-01 -0.340E-12  0.928E-08  0.487E-05
  30.57054  0.101E-06 -0.373E-11  0.151E-01  0.985      0.116E-07 -0.205E-01 -0.552E-12  0.945E-08  0.399E-05
  30.59323  0.101E-06 -0.373E-11  0.105E-01  0.989      0.629E-08 -0.187E-01 -0.746E-12  0.964E-08  0.302E-05
  30.61590  0.101E-06 -0.374E-11  0.704E-02  0.993      0.271E-08 -0.169E-01 -0.921E-12  0.987E-08  0.206E-05
  30.63856  0.100E-06 -0.374E-11  0.450E-02  0.996      0.123E-08 -0.151E-01 -0.108E-11  0.101E-07  0.134E-05
  30.66120  0.100E-06 -0.374E-11  0.271E-02  0.997      0.200E-08 -0.133E-01 -0.122E-11  0.104E-07  0.142E-05
  30.68382  0.999E-07 -0.377E-11  0.152E-02  0.998      0.501E-08 -0.115E-01 -0.134E-11  0.106E-07  0.220E-05
  30.70643  0.996E-07 -0.373E-11  0.769E-03  0.999      0.101E-07 -0.967E-02 -0.145E-11  0.109E-07  0.319E-05
  30.72902  0.994E-07 -0.376E-11  0.339E-03   1.00      0.171E-07 -0.787E-02 -0.156E-11  0.111E-07  0.422E-05
  30.75159  0.992E-07 -0.375E-11  0.121E-03   1.00      0.259E-07 -0.607E-02 -0.166E-11  0.113E-07  0.525E-05
  30.77415  0.990E-07 -0.379E-11  0.298E-04   1.00      0.363E-07 -0.427E-02 -0.175E-11  0.115E-07  0.626E-05
  30.79669  0.988E-07 -0.376E-11  0.340E-05   1.00      0.482E-07 -0.248E-02 -0.184E-11  0.117E-07  0.726E-05
  30.81921  0.985E-07 -0.378E-11  0.210E-07   1.00      0.615E-07 -0.689E-03 -0.194E-11  0.119E-07  0.823E-05
  30.84172  0.983E-07 -0.381E-11  0.134E-06   1.00      0.761E-07  0.110E-02 -0.203E-11  0.120E-07  0.918E-05
  30.86421  0.981E-07 -0.378E-11  0.630E-05   1.00      0.918E-07  0.288E-02 -0.212E-11  0.121E-07  0.101E-04
  30.88668  0.979E-07 -0.381E-11  0.433E-04   1.00      0.108E-06  0.467E-02 -0.221E-11  0.121E-07  0.110E-04
  30.90914  0.977E-07 -0.378E-11  0.158E-03   1.00      0.125E-06  0.645E-02 -0.229E-11  0.122E-07  0.118E-04
  30.93158  0.975E-07 -0.382E-11  0.421E-03   1.00      0.142E-06  0.823E-02 -0.237E-11  0.121E-07  0.126E-04
  30.95401  0.973E-07 -0.383E-11  0.924E-03  0.999      0.157E-06  0.100E-01 -0.243E-11  0.120E-07  0.133E-04
  30.97642  0.971E-07 -0.384E-11  0.178E-02  0.998      0.170E-06  0.118E-01 -0.247E-11  0.118E-07  0.139E-04
  30.99881  0.968E-07 -0.381E-11  0.313E-02  0.997      0.179E-06  0.135E-01 -0.248E-11  0.115E-07  0.142E-04
  31.02119  0.966E-07 -0.386E-11  0.513E-02  0.995      0.183E-06  0.153E-01 -0.246E-11  0.112E-07  0.144E-04
  31.04355  0.964E-07 -0.386E-11  0.797E-02  0.992      0.179E-06  0.171E-01 -0.239E-11  0.111E-07  0.143E-04
  31.06590  0.962E-07 -0.386E-11  0.118E-01  0.988      0.168E-06  0.188E-01 -0.226E-11  0.111E-07  0.139E-04
  31.08823  0.960E-07 -0.390E-11  0.169E-01  0.983      0.148E-06  0.206E-01 -0.206E-11  0.116E-07  0.130E-04
  31.11054  0.958E-07 -0.386E-11  0.236E-01  0.976      0.120E-06  0.223E-01 -0.179E-11  0.126E-07  0.118E-04
  31.13284  0.956E-07 -0.385E-11  0.319E-01  0.968      0.878E-07  0.240E-01 -0.144E-11  0.142E-07  0.101E-04
  31.15513  0.954E-07 -0.388E-11  0.422E-01  0.958      0.544E-07  0.258E-01 -0.101E-11  0.162E-07  0.803E-05
  31.17740  0.952E-07 -0.387E-11  0.548E-01  0.945      0.253E-07  0.275E-01 -0.518E-12  0.186E-07  0.556E-05
  31.19966  0.950E-07 -0.389E-11  0.699E-01  0.930      0.617E-08  0.292E-01  0.137E-13  0.212E-07  0.286E-05
  31.22190  0.948E-07 -0.389E-11  0.878E-01  0.912      0.115E-08  0.308E-01  0.553E-12  0.238E-07  0.105E-05
  31.24414  0.947E-07 -0.389E-11  0.109      0.891      0.114E-07  0.325E-01  0.105E-11  0.263E-07  0.335E-05
  31.26636  0.945E-07 -0.389E-11  0.133      0.867      0.339E-07  0.341E-01  0.146E-11  0.288E-07  0.595E-05
  31.28858  0.943E-07 -0.389E-11  0.160      0.840      0.610E-07  0.357E-01  0.172E-11  0.312E-07  0.809E-05
  31.31078  0.942E-07 -0.393E-11  0.191      0.809      0.825E-07  0.373E-01  0.178E-11  0.337E-07  0.948E-05
  31.33298  0.940E-07 -0.395E-11  0.225      0.775      0.892E-07  0.389E-01  0.160E-11  0.363E-07  0.993E-05
  31.35517  0.938E-07 -0.390E-11  0.263      0.737      0.771E-07  0.404E-01  0.119E-11  0.390E-07  0.930E-05
  31.37737  0.937E-07 -0.390E-11  0.305      0.695      0.502E-07  0.418E-01  0.572E-12  0.419E-07  0.759E-05
  31.39956  0.936E-07 -0.393E-11  0.349      0.651      0.205E-07  0.432E-01 -0.182E-12  0.446E-07  0.495E-05
  31.42175  0.934E-07 -0.392E-11  0.397      0.603      0.234E-08  0.446E-01 -0.956E-12  0.471E-07  0.180E-05
  31.44394  0.933E-07 -0.395E-11  0.447      0.553      0.519E-08  0.459E-01 -0.161E-11  0.493E-07  0.219E-05
  31.46614  0.932E-07 -0.395E-11  0.499      0.501      0.272E-07  0.472E-01 -0.200E-11  0.511E-07  0.528E-05
  31.48834  0.931E-07 -0.398E-11  0.552      0.448      0.546E-07  0.484E-01 -0.202E-11  0.527E-07  0.763E-05
  31.51056  0.930E-07 -0.402E-11  0.606      0.394      0.694E-07  0.495E-01 -0.160E-11  0.541E-07  0.870E-05
  31.53279  0.930E-07 -0.400E-11  0.660      0.340      0.610E-07  0.505E-01 -0.798E-12  0.554E-07  0.825E-05
  31.55503  0.929E-07 -0.400E-11  0.713      0.287      0.345E-07  0.515E-01  0.264E-12  0.566E-07  0.630E-05
  31.57730  0.929E-07 -0.400E-11  0.764      0.236      0.827E-08  0.524E-01  0.137E-11  0.576E-07  0.321E-05
  31.59958  0.928E-07 -0.401E-11  0.812      0.188      0.144E-08  0.532E-01  0.225E-11  0.582E-07  0.112E-05
  31.62189  0.928E-07 -0.403E-11  0.856      0.144      0.189E-07  0.539E-01  0.266E-11  0.582E-07  0.437E-05
  31.64422  0.928E-07 -0.405E-11  0.896      0.104      0.465E-07  0.545E-01  0.246E-11  0.580E-07  0.704E-05
  31.66657  0.927E-07 -0.408E-11  0.930      0.698E-01  0.617E-07  0.550E-01  0.163E-11  0.575E-07  0.822E-05
  31.68896  0.927E-07 -0.408E-11  0.958      0.418E-01  0.516E-07  0.554E-01  0.313E-12  0.569E-07  0.762E-05
  31.71137  0.927E-07 -0.405E-11  0.979      0.207E-01  0.245E-07  0.557E-01 -0.120E-11  0.562E-07  0.536E-05
  31.73382  0.927E-07 -0.402E-11  0.993      0.677E-02  0.303E-08  0.559E-01 -0.252E-11  0.552E-07  0.203E-05
  31.75629  0.927E-07 -0.402E-11   1.00      0.419E-03  0.541E-08  0.560E-01 -0.332E-11  0.538E-07  0.225E-05
  31.77880  0.927E-07 -0.403E-11  0.998      0.173E-02  0.293E-07  0.560E-01 -0.333E-11  0.521E-07  0.554E-05
  31.80134  0.927E-07 -0.405E-11  0.989      0.106E-01  0.539E-07  0.559E-01 -0.251E-11  0.502E-07  0.766E-05
  31.82392  0.927E-07 -0.404E-11  0.973      0.269E-01  0.582E-07  0.556E-01 -0.102E-11  0.483E-07  0.807E-05
  31.84652  0.927E-07 -0.399E-11  0.950      0.502E-01  0.385E-07  0.553E-01  0.817E-12  0.464E-07  0.668E-05
  31.86915  0.927E-07 -0.395E-11  0.920      0.799E-01  0.119E-07  0.548E-01  0.256E-11  0.444E-07  0.385E-05
  31.89181  0.927E-07 -0.391E-11  0.885      0.115      0.823E-09  0.543E-01  0.380E-11  0.423E-07  0.949E-06
  31.91450  0.927E-07 -0.390E-11  0.844      0.156      0.144E-07  0.537E-01  0.423E-11  0.400E-07  0.380E-05
  31.93721  0.926E-07 -0.390E-11  0.799      0.201      0.415E-07  0.529E-01  0.373E-11  0.377E-07  0.667E-05
  31.95995  0.926E-07 -0.388E-11  0.752      0.248      0.610E-07  0.521E-01  0.241E-11  0.353E-07  0.821E-05
  31.98270  0.925E-07 -0.384E-11  0.701      0.299      0.582E-07  0.512E-01  0.532E-12  0.332E-07  0.813E-05
  32.00547  0.925E-07 -0.380E-11  0.649      0.351      0.358E-07  0.502E-01 -0.151E-11  0.312E-07  0.649E-05
  32.02826  0.924E-07 -0.377E-11  0.596      0.404      0.108E-07  0.491E-01 -0.333E-11  0.292E-07  0.370E-05
  32.05106  0.923E-07 -0.376E-11  0.544      0.456      0.984E-09  0.480E-01 -0.458E-11  0.273E-07  0.105E-05
  32.07387  0.922E-07 -0.374E-11  0.492      0.508      0.132E-07  0.468E-01 -0.506E-11  0.255E-07  0.361E-05
  32.09669  0.921E-07 -0.374E-11  0.442      0.558      0.397E-07  0.455E-01 -0.471E-11  0.237E-07  0.648E-05
  32.11952  0.920E-07 -0.374E-11  0.393      0.607      0.647E-07  0.442E-01 -0.361E-11  0.221E-07  0.840E-05
  32.14234  0.919E-07 -0.373E-11  0.347      0.653      0.744E-07  0.428E-01 -0.197E-11  0.208E-07  0.911E-05
  32.16517  0.917E-07 -0.373E-11  0.304      0.696      0.645E-07  0.414E-01 -0.368E-13  0.195E-07  0.857E-05
  32.18800  0.916E-07 -0.371E-11  0.264      0.736      0.411E-07  0.399E-01  0.191E-11  0.184E-07  0.695E-05
  32.21082  0.914E-07 -0.369E-11  0.227      0.773      0.165E-07  0.384E-01  0.364E-11  0.175E-07  0.453E-05
  32.23364  0.913E-07 -0.372E-11  0.193      0.807      0.245E-08  0.368E-01  0.498E-11  0.167E-07  0.187E-05
  32.25645  0.911E-07 -0.371E-11  0.163      0.837      0.515E-08  0.353E-01  0.580E-11  0.160E-07  0.214E-05
  32.27925  0.910E-07 -0.371E-11  0.136      0.864      0.238E-07  0.337E-01  0.609E-11  0.157E-07  0.485E-05
  32.30205  0.908E-07 -0.374E-11  0.112      0.888      0.520E-07  0.321E-01  0.586E-11  0.155E-07  0.733E-05
  32.32483  0.906E-07 -0.371E-11  0.911E-01  0.909      0.811E-07  0.304E-01  0.519E-11  0.156E-07  0.926E-05
  32.34760  0.904E-07 -0.370E-11  0.732E-01  0.927      0.103E-06  0.288E-01  0.416E-11  0.158E-07  0.105E-04
  32.37036  0.903E-07 -0.369E-11  0.579E-01  0.942      0.114E-06  0.271E-01  0.289E-11  0.161E-07  0.112E-04
  32.39311  0.901E-07 -0.375E-11  0.450E-01  0.955      0.112E-06  0.254E-01  0.147E-11  0.165E-07  0.111E-04
  32.41584  0.899E-07 -0.375E-11  0.344E-01  0.966      0.985E-07  0.237E-01  0.228E-14  0.170E-07  0.105E-04
  32.43855  0.897E-07 -0.371E-11  0.257E-01  0.974      0.782E-07  0.221E-01 -0.145E-11  0.177E-07  0.946E-05
  32.46126  0.895E-07 -0.372E-11  0.187E-01  0.981      0.552E-07  0.204E-01 -0.284E-11  0.185E-07  0.805E-05
  32.48394  0.894E-07 -0.372E-11  0.133E-01  0.987      0.336E-07  0.187E-01 -0.412E-11  0.195E-07  0.640E-05
  32.50662  0.892E-07 -0.374E-11  0.909E-02  0.991      0.167E-07  0.170E-01 -0.528E-11  0.207E-07  0.465E-05
  32.52927  0.890E-07 -0.375E-11  0.598E-02  0.994      0.651E-08  0.153E-01 -0.632E-11  0.219E-07  0.301E-05
  32.55192  0.888E-07 -0.372E-11  0.375E-02  0.996      0.419E-08  0.136E-01 -0.725E-11  0.231E-07  0.214E-05
  32.57454  0.886E-07 -0.377E-11  0.220E-02  0.998      0.997E-08  0.119E-01 -0.807E-11  0.243E-07  0.291E-05
  32.59715  0.884E-07 -0.376E-11  0.119E-02  0.999      0.236E-07  0.102E-01 -0.880E-11  0.255E-07  0.454E-05
  32.61975  0.882E-07 -0.374E-11  0.576E-03  0.999      0.445E-07  0.847E-02 -0.946E-11  0.266E-07  0.636E-05
  32.64233  0.881E-07 -0.378E-11  0.237E-03   1.00      0.720E-07  0.677E-02 -0.101E-10  0.276E-07  0.820E-05
  32.66489  0.879E-07 -0.382E-11  0.754E-04   1.00      0.106E-06  0.508E-02 -0.106E-10  0.286E-07  0.100E-04
  32.68744  0.877E-07 -0.379E-11  0.150E-04   1.00      0.145E-06  0.339E-02 -0.112E-10  0.294E-07  0.118E-04
  32.70997  0.875E-07 -0.377E-11  0.969E-06   1.00      0.189E-06  0.170E-02 -0.117E-10  0.301E-07  0.136E-04
  32.73249  0.873E-07 -0.376E-11  0.148E-11   1.00      0.239E-06  0.152E-04 -0.123E-10  0.307E-07  0.153E-04
  32.75499  0.872E-07 -0.383E-11  0.913E-06   1.00      0.292E-06 -0.167E-02 -0.128E-10  0.312E-07  0.170E-04
  32.77748  0.870E-07 -0.382E-11  0.146E-04   1.00      0.350E-06 -0.335E-02 -0.133E-10  0.315E-07  0.186E-04
  32.79995  0.868E-07 -0.379E-11  0.744E-04   1.00      0.409E-06 -0.503E-02 -0.139E-10  0.316E-07  0.201E-04
  32.82240  0.866E-07 -0.382E-11  0.236E-03   1.00      0.469E-06 -0.670E-02 -0.143E-10  0.315E-07  0.216E-04
  32.84484  0.864E-07 -0.385E-11  0.577E-03  0.999      0.527E-06 -0.838E-02 -0.148E-10  0.311E-07  0.229E-04
  32.86727  0.863E-07 -0.383E-11  0.120E-02  0.999      0.579E-06 -0.100E-01 -0.151E-10  0.303E-07  0.241E-04
  32.88968  0.861E-07 -0.384E-11  0.222E-02  0.998      0.621E-06 -0.117E-01 -0.154E-10  0.292E-07  0.249E-04
  32.91207  0.859E-07 -0.386E-11  0.380E-02  0.996      0.647E-06 -0.134E-01 -0.154E-10  0.280E-07  0.255E-04
  32.93445  0.857E-07 -0.385E-11  0.609E-02  0.994      0.651E-06 -0.150E-01 -0.152E-10  0.269E-07  0.256E-04
  32.95681  0.856E-07 -0.388E-11  0.928E-02  0.991      0.628E-06 -0.167E-01 -0.148E-10  0.264E-07  0.252E-04
  32.97916  0.854E-07 -0.383E-11  0.136E-01  0.986      0.575E-06 -0.184E-01 -0.140E-10  0.273E-07  0.241E-04
  33.00150  0.852E-07 -0.384E-11  0.192E-01  0.981      0.493E-06 -0.200E-01 -0.127E-10  0.303E-07  0.224E-04
  33.02382  0.851E-07 -0.386E-11  0.265E-01  0.974      0.387E-06 -0.216E-01 -0.111E-10  0.355E-07  0.199E-04
  33.04613  0.849E-07 -0.387E-11  0.355E-01  0.965      0.268E-06 -0.233E-01 -0.892E-11  0.427E-07  0.167E-04
  33.06842  0.847E-07 -0.388E-11  0.466E-01  0.953      0.152E-06 -0.249E-01 -0.631E-11  0.512E-07  0.127E-04
  33.09070  0.846E-07 -0.392E-11  0.601E-01  0.940      0.593E-07 -0.265E-01 -0.332E-11  0.603E-07  0.807E-05
  33.11297  0.844E-07 -0.391E-11  0.762E-01  0.924      0.862E-08 -0.281E-01 -0.841E-13  0.697E-07  0.327E-05
  33.13523  0.843E-07 -0.390E-11  0.951E-01  0.905      0.116E-07 -0.296E-01  0.318E-11  0.788E-07  0.305E-05
  33.15747  0.841E-07 -0.391E-11  0.117      0.883      0.670E-07 -0.312E-01  0.618E-11  0.877E-07  0.777E-05
  33.17971  0.840E-07 -0.392E-11  0.142      0.858      0.157E-06 -0.327E-01  0.861E-11  0.962E-07  0.122E-04
  33.20194  0.838E-07 -0.393E-11  0.171      0.829      0.251E-06 -0.342E-01  0.101E-10  0.105E-06  0.155E-04
  33.22416  0.837E-07 -0.396E-11  0.203      0.797      0.311E-06 -0.357E-01  0.104E-10  0.113E-06  0.174E-04
  33.24637  0.835E-07 -0.395E-11  0.239      0.761      0.310E-06 -0.372E-01  0.935E-11  0.123E-06  0.175E-04
  33.26858  0.834E-07 -0.398E-11  0.278      0.722      0.243E-06 -0.386E-01  0.686E-11  0.132E-06  0.156E-04
  33.29079  0.833E-07 -0.396E-11  0.321      0.679      0.138E-06 -0.399E-01  0.318E-11  0.142E-06  0.119E-04
  33.31300  0.832E-07 -0.395E-11  0.366      0.634      0.413E-07 -0.413E-01 -0.122E-11  0.151E-06  0.668E-05
  33.33521  0.831E-07 -0.396E-11  0.415      0.585      0.257E-08 -0.425E-01 -0.566E-11  0.159E-06  0.163E-05
  33.35742  0.830E-07 -0.397E-11  0.465      0.535      0.418E-07 -0.438E-01 -0.929E-11  0.166E-06  0.605E-05
  33.37964  0.829E-07 -0.400E-11  0.518      0.482      0.135E-06 -0.449E-01 -0.113E-10  0.172E-06  0.112E-04
  33.40187  0.828E-07 -0.408E-11  0.571      0.429      0.223E-06 -0.460E-01 -0.110E-10  0.177E-06  0.146E-04
  33.42410  0.828E-07 -0.411E-11  0.625      0.375      0.247E-06 -0.471E-01 -0.831E-11  0.181E-06  0.155E-04
  33.44635  0.827E-07 -0.411E-11  0.679      0.321      0.187E-06 -0.480E-01 -0.344E-11  0.186E-06  0.136E-04
  33.46862  0.827E-07 -0.409E-11  0.731      0.269      0.835E-07 -0.489E-01  0.269E-11  0.189E-06  0.929E-05
  33.49090  0.826E-07 -0.405E-11  0.781      0.219      0.964E-08 -0.497E-01  0.875E-11  0.192E-06  0.337E-05
  33.51321  0.826E-07 -0.407E-11  0.828      0.172      0.197E-07 -0.504E-01  0.132E-10  0.193E-06  0.405E-05
  33.53553  0.826E-07 -0.415E-11  0.871      0.129      0.105E-06 -0.511E-01  0.148E-10  0.193E-06  0.982E-05
  33.55788  0.826E-07 -0.426E-11  0.909      0.911E-01  0.196E-06 -0.516E-01  0.128E-10  0.192E-06  0.137E-04
  33.58026  0.825E-07 -0.431E-11  0.941      0.591E-01  0.218E-06 -0.520E-01  0.727E-11  0.190E-06  0.146E-04
  33.60266  0.825E-07 -0.427E-11  0.967      0.335E-01  0.151E-06 -0.524E-01 -0.628E-12  0.188E-06  0.123E-04
  33.62509  0.825E-07 -0.417E-11  0.985      0.149E-01  0.514E-07 -0.526E-01 -0.908E-11  0.185E-06  0.740E-05
  33.64755  0.825E-07 -0.411E-11  0.996      0.365E-02  0.250E-08 -0.528E-01 -0.159E-10  0.181E-06  0.167E-05
  33.67004  0.825E-07 -0.415E-11   1.00      0.180E-04  0.455E-07 -0.528E-01 -0.192E-10  0.176E-06  0.635E-05
  33.69256  0.825E-07 -0.424E-11  0.996      0.405E-02  0.143E-06 -0.528E-01 -0.178E-10  0.170E-06  0.116E-04
  33.71511  0.825E-07 -0.430E-11  0.984      0.156E-01  0.210E-06 -0.526E-01 -0.118E-10  0.164E-06  0.143E-04
  33.73769  0.825E-07 -0.426E-11  0.966      0.345E-01  0.190E-06 -0.524E-01 -0.245E-11  0.157E-06  0.138E-04
  33.76030  0.825E-07 -0.414E-11  0.940      0.601E-01  0.100E-06 -0.520E-01  0.818E-11  0.151E-06  0.102E-04
  33.78293  0.825E-07 -0.402E-11  0.908      0.920E-01  0.177E-07 -0.516E-01  0.175E-10  0.144E-06  0.452E-05
  33.80559  0.825E-07 -0.399E-11  0.871      0.129      0.113E-07 -0.510E-01  0.232E-10  0.136E-06  0.303E-05
  33.82828  0.825E-07 -0.401E-11  0.829      0.171      0.861E-07 -0.504E-01  0.240E-10  0.129E-06  0.892E-05
  33.85099  0.824E-07 -0.404E-11  0.783      0.217      0.182E-06 -0.497E-01  0.194E-10  0.120E-06  0.132E-04
  33.87372  0.824E-07 -0.404E-11  0.734      0.266      0.225E-06 -0.489E-01  0.104E-10  0.113E-06  0.149E-04
  33.89647  0.823E-07 -0.396E-11  0.683      0.317      0.184E-06 -0.480E-01 -0.115E-11  0.106E-06  0.137E-04
  33.91923  0.823E-07 -0.388E-11  0.630      0.370      0.917E-07 -0.470E-01 -0.129E-10  0.988E-07  0.983E-05
  33.94201  0.822E-07 -0.383E-11  0.577      0.423      0.164E-07 -0.460E-01 -0.225E-10  0.922E-07  0.440E-05
  33.96480  0.821E-07 -0.380E-11  0.525      0.475      0.109E-07 -0.449E-01 -0.284E-10  0.857E-07  0.296E-05
  33.98759  0.821E-07 -0.381E-11  0.474      0.526      0.795E-07 -0.437E-01 -0.294E-10  0.794E-07  0.851E-05
  34.01040  0.820E-07 -0.382E-11  0.424      0.576      0.180E-06 -0.425E-01 -0.257E-10  0.735E-07  0.131E-04
  34.03320  0.819E-07 -0.378E-11  0.376      0.624      0.253E-06 -0.412E-01 -0.180E-10  0.682E-07  0.157E-04
  34.05601  0.818E-07 -0.380E-11  0.331      0.669      0.261E-06 -0.399E-01 -0.750E-11  0.635E-07  0.161E-04
  34.07882  0.816E-07 -0.377E-11  0.289      0.711      0.203E-06 -0.385E-01  0.411E-11  0.593E-07  0.144E-04
  34.10163  0.815E-07 -0.373E-11  0.250      0.750      0.112E-06 -0.371E-01  0.153E-10  0.555E-07  0.108E-04
  34.12444  0.814E-07 -0.375E-11  0.214      0.786      0.337E-07 -0.357E-01  0.248E-10  0.521E-07  0.619E-05
  34.14723  0.813E-07 -0.373E-11  0.182      0.818      0.468E-08 -0.342E-01  0.317E-10  0.494E-07  0.219E-05
  34.17003  0.811E-07 -0.373E-11  0.153      0.847      0.375E-07 -0.327E-01  0.354E-10  0.475E-07  0.560E-05
  34.19281  0.810E-07 -0.371E-11  0.127      0.873      0.121E-06 -0.312E-01  0.360E-10  0.465E-07  0.104E-04
  34.21558  0.809E-07 -0.375E-11  0.104      0.896      0.227E-06 -0.297E-01  0.336E-10  0.463E-07  0.145E-04
  34.23835  0.807E-07 -0.374E-11  0.841E-01  0.916      0.325E-06 -0.281E-01  0.288E-10  0.468E-07  0.175E-04
  34.26110  0.806E-07 -0.373E-11  0.672E-01  0.933      0.390E-06 -0.266E-01  0.221E-10  0.477E-07  0.193E-04
  34.28384  0.804E-07 -0.374E-11  0.528E-01  0.947      0.410E-06 -0.250E-01  0.141E-10  0.490E-07  0.200E-04
  34.30657  0.803E-07 -0.376E-11  0.408E-01  0.959      0.386E-06 -0.234E-01  0.551E-11  0.506E-07  0.195E-04
  34.32928  0.801E-07 -0.373E-11  0.309E-01  0.969      0.328E-06 -0.218E-01 -0.324E-11  0.528E-07  0.181E-04
  34.35198  0.799E-07 -0.373E-11  0.229E-01  0.977      0.249E-06 -0.202E-01 -0.118E-10  0.556E-07  0.159E-04
  34.37467  0.798E-07 -0.374E-11  0.165E-01  0.983      0.167E-06 -0.186E-01 -0.198E-10  0.590E-07  0.132E-04
  34.39734  0.796E-07 -0.375E-11  0.116E-01  0.988      0.945E-07 -0.170E-01 -0.272E-10  0.629E-07  0.102E-04
  34.42000  0.795E-07 -0.378E-11  0.781E-02  0.992      0.422E-07 -0.154E-01 -0.339E-10  0.672E-07  0.702E-05
  34.44264  0.793E-07 -0.376E-11  0.505E-02  0.995      0.160E-07 -0.138E-01 -0.398E-10  0.716E-07  0.436E-05
  34.46527  0.792E-07 -0.377E-11  0.309E-02  0.997      0.185E-07 -0.122E-01 -0.451E-10  0.759E-07  0.390E-05
  34.48788  0.790E-07 -0.381E-11  0.177E-02  0.998      0.498E-07 -0.106E-01 -0.498E-10  0.802E-07  0.617E-05
  34.51048  0.789E-07 -0.375E-11  0.920E-03  0.999      0.109E-06 -0.900E-02 -0.540E-10  0.842E-07  0.930E-05
  34.53307  0.787E-07 -0.379E-11  0.422E-03   1.00      0.193E-06 -0.739E-02 -0.578E-10  0.879E-07  0.126E-04
  34.55564  0.786E-07 -0.375E-11  0.160E-03   1.00      0.300E-06 -0.579E-02 -0.614E-10  0.914E-07  0.159E-04
  34.57819  0.784E-07 -0.383E-11  0.443E-04   1.00      0.428E-06 -0.420E-02 -0.648E-10  0.944E-07  0.191E-04
  34.60073  0.782E-07 -0.379E-11  0.663E-05   1.00      0.576E-06 -0.260E-02 -0.681E-10  0.972E-07  0.223E-04
  34.62326  0.781E-07 -0.380E-11  0.169E-06   1.00      0.742E-06 -0.101E-02 -0.714E-10  0.995E-07  0.254E-04
  34.64577  0.779E-07 -0.382E-11  0.267E-07   1.00      0.924E-06  0.587E-03 -0.746E-10  0.101E-06  0.284E-04
  34.66827  0.778E-07 -0.383E-11  0.340E-05   1.00      0.112E-05  0.218E-02 -0.779E-10  0.103E-06  0.314E-04
  34.69075  0.776E-07 -0.381E-11  0.297E-04   1.00      0.133E-05  0.376E-02 -0.811E-10  0.104E-06  0.343E-04
  34.71322  0.775E-07 -0.381E-11  0.121E-03   1.00      0.155E-05  0.535E-02 -0.841E-10  0.104E-06  0.370E-04
  34.73567  0.773E-07 -0.384E-11  0.340E-03   1.00      0.176E-05  0.693E-02 -0.870E-10  0.103E-06  0.395E-04
  34.75811  0.772E-07 -0.382E-11  0.776E-03  0.999      0.196E-05  0.852E-02 -0.894E-10  0.101E-06  0.417E-04
  34.78053  0.770E-07 -0.383E-11  0.154E-02  0.998      0.213E-05  0.101E-01 -0.912E-10  0.977E-07  0.436E-04
  34.80294  0.769E-07 -0.385E-11  0.275E-02  0.997      0.226E-05  0.117E-01 -0.922E-10  0.936E-07  0.450E-04
  34.82534  0.767E-07 -0.382E-11  0.458E-02  0.995      0.233E-05  0.132E-01 -0.919E-10  0.891E-07  0.456E-04
  34.84772  0.766E-07 -0.383E-11  0.719E-02  0.993      0.231E-05  0.148E-01 -0.901E-10  0.856E-07  0.455E-04
  34.87009  0.765E-07 -0.387E-11  0.108E-01  0.989      0.219E-05  0.164E-01 -0.864E-10  0.853E-07  0.444E-04
  34.89244  0.763E-07 -0.385E-11  0.156E-01  0.984      0.196E-05  0.179E-01 -0.804E-10  0.911E-07  0.421E-04
  34.91478  0.762E-07 -0.387E-11  0.218E-01  0.978      0.163E-05  0.195E-01 -0.719E-10  0.105E-06  0.385E-04
  34.93710  0.760E-07 -0.388E-11  0.296E-01  0.970      0.123E-05  0.210E-01 -0.604E-10  0.126E-06  0.335E-04
  34.95942  0.759E-07 -0.386E-11  0.394E-01  0.961      0.796E-06  0.226E-01 -0.462E-10  0.152E-06  0.271E-04
  34.98172  0.757E-07 -0.389E-11  0.514E-01  0.949      0.404E-06  0.241E-01 -0.293E-10  0.182E-06  0.195E-04
  35.00401  0.756E-07 -0.390E-11  0.658E-01  0.934      0.122E-06  0.256E-01 -0.105E-10  0.214E-06  0.111E-04
  35.02628  0.755E-07 -0.388E-11  0.829E-01  0.917      0.107E-07  0.271E-01  0.916E-11  0.245E-06  0.330E-05
  35.04855  0.753E-07 -0.392E-11  0.103      0.897      0.958E-07  0.286E-01  0.283E-10  0.276E-06  0.857E-05
  35.07081  0.752E-07 -0.393E-11  0.126      0.874      0.352E-06  0.301E-01  0.450E-10  0.306E-06  0.170E-04
  35.09306  0.751E-07 -0.393E-11  0.153      0.847      0.695E-06  0.315E-01  0.573E-10  0.334E-06  0.242E-04
  35.11530  0.750E-07 -0.397E-11  0.183      0.817      0.999E-06  0.329E-01  0.632E-10  0.363E-06  0.293E-04
  35.13753  0.749E-07 -0.401E-11  0.216      0.784      0.114E-05  0.343E-01  0.612E-10  0.393E-06  0.315E-04
  35.15976  0.747E-07 -0.402E-11  0.253      0.747      0.104E-05  0.357E-01  0.505E-10  0.425E-06  0.303E-04
  35.18199  0.746E-07 -0.405E-11  0.293      0.707      0.736E-06  0.370E-01  0.317E-10  0.457E-06  0.257E-04
